name,date,,Open,High,Low,Close,
BHP,11-02-2011, ,93.11,94.26,92.9,93.72,
BHP,14-02-2011, ,94.57,96.23,94.39,95.64,
BHP,15-02-2011, ,94.45,95.47,93.91,94.56,
BHP,16-02-2011, ,92.67,93.58,92.56,93.3,
BHP,17-02-2011, ,92.65,93.98,92.58,93.93,
BHP,18-02-2011, ,92.34,93,92,92.39,
BHP,22-02-2011, ,,93.98,91.75,92.11,
BHP,23-02-2011, ,91.93,92.46,91.05,92.36,
BHP,24-02-2011, ,92.42,92.71,90.93,91.76,
BHP,25-02-2011, ,93.48,94.04,92.44,93.91,
BHP,28-02-2011, ,94.81,95.11,94.1,94.6,
BHP,01-03-2011, ,95.05,95.2,93.13,93.27,
BHP,02-03-2011, ,93.89,94.89,93.54,94.43,
