x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
3838408,247.54,506.19,7682,6477.7,6374258,568.71,1026.31,70.62,80.66,128,1.416893505,5428,72.87
3918866,279.63,641.97,9262.16,7875.73,6474420,705.25,1335.2,82.46,108.46,126.5,1.459757059,6614,109.75
3935023,328.56,772.44,10188.31,8335.82,6569890,653.94,1543.06,92.16,90.16,122.2,1.848214983,7104,98.11
4291432,314.58,879.59,10657.6,8891.98,6671738,738.58,1734.12,95.72,101.7,109.2,1.98223189,7757,116.07
4459873,375.14,986.57,11357.7,9666.33,6746691,846.83,1985.52,96.88,122.61,109.7,1.238955153,8109,148.32
4558575,404.58,1054.69,12137.52,9957.44,6857239,911.26,2228.18,101.85,163.78,112.5,1.220888965,8683,193.14
4971567,435.09,1189.13,14218.53,11539.47,7010061,985.67,2551.74,101.37,181.62,111.8,1.754103463,9714,230.91
5036154,452.81,1307.29,14953,11732.35,7129257,1061.21,2887.65,109.28,220.53,111.9,2.064995278,10542,285.91
5076228,533.49,1422.68,13621.47,10959.78,7214709,1089.24,3257.96,111.07,216.18,105.6,2.195144167,11604,281.1
5217797,583.55,1549.27,15243.59,11852.58,7254163,1249.17,3814.62,119.91,230.51,114.1,1.677014207,12416,312.55
5414782,662.33,1740.77,17096.16,13394.83,7378300,1366.93,4520.55,126.15,258.01,109.7,2.239791981,14330,345.45
5749566,752.32,1991.84,18509.24,14762.24,7514123,1568.16,5228.23,137.22,315.41,116.5,2.442614903,16560,418.86
6004697,834.97,2284.14,20041.66,15709.93,7616166,1768.38,6158.86,137.51,368.99,109.3,1.572785275,18058,485.72
6244637,937.07,2695.24,22580.22,19144.32,7743096,1928.34,7208.32,156.87,438.36,110.4,1.715082348,20211,849.99
6536390,1070.37,3272.39,25420.72,21120.95,7844032,2180.54,8308.38,177.19,515.84,116.9,2.493298276,22268,854.14
6798063,1198.03,3709.77,27877.59,23002.89,7953973,2758.85,9186.21,181.28,567.74,106.5,2.165059529,24304,1112.67
7118444,1394.48,4548.38,30934.49,25174.61,8068257,3304.57,10838.28,196.57,671.06,112.2,1.804760181,29640,1407.16
7437331,1774.87,5294.03,34711.08,28359.74,8147270,3493.21,12502.44,211.54,717.66,119.5,1.697368941,34383,1541.14
7520968,2048.51,6044.27,38254.52,30633.44,8229679,3789.39,13595.21,219.76,769.49,114,2.354190127,38119,1593.68
7606075,2199.78,6945.85,42168.14,33289.83,8329455,4494.55,15453.14,239.46,863.56,115.6,2.783853368,42157,2102.14
